Quận / huyện,Tên,Địa chỉ,Note,Review,MXH,lat,lon
Bắc Từ Liêm,Photo Memory Photobooth,"https://www.google.com/maps/place/Photo+Easel+-+Photobooth+B%E1%BA%AFc+T%E1%BB%AB+Li%C3%AAm/@21.0743738,105.7638226,15z/data=!4m10!1m2!2m1!1sphoto+easel!3m6!1s0x313455001804a3f9:0x5fb1a7c63b069f59!8m2!3d21.0743738!4d105.7725773!15sCgtwaG90byBlYXNlbFoNIgtwaG90byBlYXNlbJIBC3Bob3RvX2Jvb3RomgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF6ZHpSRFlXdEJSUkFC4AEA-gEECEAQMA!16s%2Fg%2F11wqh_9h8j?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0743738,105.7638226
Bắc Từ Liêm,FLASH BOX Photobooth Vincom Bắc Từ Liêm,"https://www.google.com/maps/place/FLASH+BOX+Photobooth+Vincom+B%E1%BA%AFc+T%E1%BB%AB+Li%C3%AAm/@21.0526936,105.7807082,17z/data=!3m1!4b1!4m6!3m5!1s0x3134550003c59379:0xd1347976ea7f7026!8m2!3d21.0526936!4d105.7807082!16s%2Fg%2F11yl0c6y10?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0526936,105.7807082
Bắc Từ Liêm,Paris Booth,"https://www.google.com/maps/place/Photo+Memory+Photobooth/@21.0515789,105.7804293,17z/data=!3m1!4b1!4m6!3m5!1s0x3134550044ae0be3:0x1da2670fbd70a54!8m2!3d21.0515789!4d105.7804293!16s%2Fg%2F11mm8_h4pf?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0515789,105.7804293
Bắc Từ Liêm,Photo Easel - Photobooth Bắc Từ Liêm,"https://www.google.com/maps/place/Paris+Booth/@21.0365839,105.7771434,17z/data=!3m1!4b1!4m6!3m5!1s0x31345560a5d9b7cb:0x30e59fb675dcca7a!8m2!3d21.0365839!4d105.7771434!16s%2Fg%2F11xmvnlrfj?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0365839,105.7771434
Cầu Giấy,ART Photobooth,"https://www.google.com/maps/place/Photo+Palette+-+Phan+V%C4%83n+Tr%C6%B0%E1%BB%9Dng/@21.0411472,105.7835287,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab005374d285:0xa9c2bfc753c1f959!8m2!3d21.0411422!4d105.7861036!16s%2Fg%2F11ycw8wmcj?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,21.0411472,105.7835287
Cầu Giấy,Filmong,"https://www.google.com/maps/place/Razzle+Dazzle+premium+self+photo+studio/@21.0363121,105.7876782,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aba8aa30a3e7:0xa122ef05f48a304!8m2!3d21.0363121!4d105.7876782!16s%2Fg%2F11v11bvcpg?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,21.0363121,105.7876782
Cầu Giấy,PHOTO OBJET(D‘Capitale),"https://www.google.com/maps/place/Photoism/@21.046605,105.7943785,17z/data=!4m10!1m2!2m1!1sphotoism!3m6!1s0x3135ab00488b7395:0xd8980ca564f32199!8m2!3d21.046605!4d105.7965672!15sCghwaG90b2lzbVoKIghwaG90b2lzbZIBEnBob3RvZ3JhcGh5X3N0dWRpb5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeEdjVkpWTlU5a1J6bG1WRlJvYW1SRVNqWlRNMlJHVFd4S1EyVnVZeEFC4AEA-gEECAAQGw!16s%2Fg%2F11wtkqb9bf?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.046605,105.7943785
Cầu Giấy,SAY CHEESE CẦU GIẤY,"https://www.google.com/maps/place/Photosona+191+Tr%E1%BA%A7n+Qu%E1%BB%91c+Ho%C3%A0n/@21.0415897,105.7842743,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab6009e20b1d:0x548aa9e5d5183cc2!8m2!3d21.0415897!4d105.7842743!16s%2Fg%2F11xccw8r95?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0415897,105.7842743
Cầu Giấy,Kclick Photobooth GO! Thăng Long,"https://www.google.com/maps/place/Photobooth+Grimfilm/@21.0409624,105.7757195,17z/data=!3m1!4b1!4m6!3m5!1s0x3134550011e17983:0x59200cca344fe3e6!8m2!3d21.0409624!4d105.7757195!16s%2Fg%2F11x16_4kjb?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0409624,105.7757195
Cầu Giấy,Razzle Dazzle premium self photo studio,"https://www.google.com/maps/place/Oldmoon+Self+Studio/@21.0373358,105.7899052,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab004917008f:0xab7006c31c981f2f!8m2!3d21.0373358!4d105.7899052!16s%2Fg%2F11m6d5zljg?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0373358,105.7899052
